Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,user_id
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok,9114
12-20,Male,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,,Satisfied,6982
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,,Both,Satisfied,1931
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,,,,,Ok,5718
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,7057
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,,,,,Ok,5716
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,,,,,Ok,4690
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied,6312
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,6858
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,,,,,Ok,6154
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied,4305
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Ok,5483
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,6353
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,2817
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied,4867
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,,,,,Very Dissatisfied,6748
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied,5844
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Social gatherings or parties,Social gatherings ,recommendations,4,Never,,,,,Ok,2073
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,,,,,Ok,1093
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,,,,Shorter,Ok,4969
